"ID","validFrom","validTo","longitude","latitude","name","description","image","number","orderBy","isKidFriendly","isElderlyFriendly","isStrollerFriendly","hasVisited","hasToilet","hasFood","myAdjacentStamp","targetForAdjacentStamp","Stampings","groupFilterStampings","groupSize","totalGroupStampings","stampedUserIds","stampedUsers"
"ef229c40-d735-41d9-90ed-d44d9f35d4a4","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","10.430119999999988","51.6674","Großer Knollen","Großer Knollen ~ this will come later: make a get request",,"150","150",,,,,,,,,,,,,,
"796261ea-45d9-4c91-9794-f1b0765decef","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","10.475670000000036","51.79513","Kleine Oker","Kleine Oker ~ this will come later: make a get request",,"149","149",,,,,,,,,,,,,,
"32b374ec-f5a6-4297-9f8d-c537f2eadabf","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","10.581879999999956","51.72311","Naturmythenpfad (NPH)","Naturmythenpfad (NPH) ~ this will come later: make a get request",,"148","148",,,,,,,,,,,,,,
"47beb885-aaca-40c5-86a9-109dd40061f7","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","10.398339999999962","51.75382","Eleonorenblick","Eleonorenblick ~ this will come later: make a get request",,"147","147",,,,,,,,,,,,,,
"863c81a0-60be-4517-bbca-e086c41f5d7b","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","10.445730000000026","51.7626","Großes Wehr","Großes Wehr ~ this will come later: make a get request",,"146","146",,,,,,,,,,,,,,
"5492c96c-e2f1-4b75-b746-53858bf3d97a","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","10.387830000000008","51.7771","Schmidts-Denkmal","Schmidts-Denkmal ~ this will come later: make a get request",,"145","145",,,,,,,,,,,,,,
"f5d04127-486d-4c84-a79e-926da4911e2b","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","10.40336000000002","51.72814","Hanskühnenburg","Hanskühnenburg ~ this will come later: make a get request",,"144","144",,,,,,,,,,,,,,
"d68cbd57-f23e-44e7-9618-0bbee7e10294","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","10.336260000000038","51.72322","Köte Schindelkopf","Köte Schindelkopf ~ this will come later: make a get request",,"143","143",,,,,,,,,,,,,,
"0e3c0617-ae24-4128-971d-b0d2ac50b063","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","10.279040000000009","51.89504","Mandolinenhütte","Mandolinenhütte ~ this will come later: make a get request",,"142","142",,,,,,,,,,,,,,
"5a45e39c-bb23-4e2a-bd3a-34aac64906dc","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","10.286078453063967","51.784759559219346","Oberer Hahnebalzer Teich","Oberer Hahnebalzer Teich ~ this will come later: make a get request",,"141","141",,,,,,,,,,,,,,
